h,demand,cf_wind,cf_solar,cf_gas
h2128,19053.8,0.527,0.578,1.0
h2129,17974.7,0.385,0.387,1.0
h2130,17170.9,0.544,0.188,1.0
h2131,16148.3,0.436,0.0,1.0
h2132,15074.3,0.498,0.0,1.0
h2133,14966.6,0.497,0.001,1.0
h2134,14421.7,0.458,0.027,1.0
h2135,13366.6,0.418,0.0,1.0
h2136,13093.2,0.477,0.006,1.0
h2137,13742.3,0.63,0.004,1.0
h2138,15206.9,0.391,0.0,1.0
h2139,13459.6,0.635,0.002,1.0
h2140,13903.0,0.479,0.03,1.0
h2141,15934.6,0.503,0.006,1.0
h2142,16619.2,0.413,0.007,1.0
h2143,17489.7,0.438,0.0,1.0
h2144,18262.8,0.46,0.269,1.0
h2145,18501.0,0.416,0.387,1.0
h2146,20337.2,0.483,0.524,1.0
h2147,18152.9,0.467,0.729,1.0
h2148,18862.4,0.648,0.781,1.0
h2149,19331.8,0.407,0.803,1.0
h2150,17795.1,0.508,0.768,1.0
h2151,18491.8,0.52,0.759,1.0
h2152,19345.8,0.414,0.584,1.0
h2153,17321.8,0.555,0.422,1.0
h2154,16732.3,0.468,0.215,1.0
h2155,14789.4,0.301,0.008,1.0
h2156,14614.2,0.553,0.042,1.0
h2157,14225.4,0.411,0.0,1.0
h2158,13839.8,0.416,0.0,1.0
h2159,14869.1,0.555,0.026,1.0
h2160,14240.3,0.472,0.015,1.0
h2161,13061.3,0.573,0.003,1.0
h2162,14501.7,0.597,0.014,1.0
h2163,15233.1,0.448,0.0,1.0
h2164,16419.0,0.563,0.001,1.0
h2165,17542.8,0.44,0.0,1.0
h2166,16286.9,0.679,0.0,1.0
h2167,17267.1,0.445,0.036,1.0
h2168,17669.8,0.582,0.167,1.0
h2169,19143.2,0.567,0.474,1.0
h2170,20211.0,0.525,0.597,1.0
h2171,20956.7,0.446,0.645,1.0
h2172,20237.3,0.488,0.772,1.0
h2173,19970.1,0.328,0.801,1.0
h2174,20080.1,0.518,0.79,1.0
h2175,18849.7,0.528,0.668,1.0
h2176,20608.7,0.511,0.57,1.0
h2177,16973.1,0.262,0.399,1.0
h2178,17682.1,0.399,0.186,1.0
h2179,18434.1,0.44,0.0,1.0
h2180,16160.0,0.523,0.028,1.0
h2181,15449.0,0.523,0.0,1.0
h2182,14910.2,0.486,0.014,1.0
h2183,14826.7,0.551,0.024,1.0
h2184,16043.2,0.418,0.0,1.0
h2185,13353.7,0.549,0.002,1.0
h2186,16724.3,0.538,0.035,1.0
h2187,14907.1,0.53,0.0,1.0
h2188,16522.2,0.485,0.0,1.0
h2189,17178.8,0.646,0.0,1.0
h2190,18827.1,0.539,0.035,1.0
h2191,17906.3,0.423,0.039,1.0
h2192,20324.5,0.52,0.165,1.0
h2193,22236.9,0.56,0.431,1.0
h2194,20040.8,0.453,0.591,1.0
h2195,21616.6,0.587,0.74,1.0
h2196,21069.3,0.531,0.785,1.0
h2197,21868.3,0.313,0.799,1.0
h2198,21274.7,0.524,0.807,1.0
h2199,20302.7,0.468,0.713,1.0
h2200,20620.8,0.543,0.633,1.0
h2201,20989.9,0.576,0.428,1.0
h2202,18660.6,0.516,0.211,1.0
h2203,18660.1,0.633,0.0,1.0
h2204,16377.3,0.486,0.0,1.0
h2205,16079.7,0.55,0.0,1.0
h2206,16802.7,0.564,0.0,1.0
h2207,17370.0,0.492,0.028,1.0
h2208,16422.4,0.562,0.0,1.0
h2209,16045.5,0.452,0.031,1.0
h2210,16647.8,0.466,0.01,1.0
h2211,16173.2,0.395,0.0,1.0
h2212,18321.3,0.519,0.003,1.0
h2213,19303.5,0.526,0.014,1.0
h2214,19041.9,0.594,0.004,1.0
h2215,19826.4,0.563,0.005,1.0
h2216,21154.1,0.477,0.183,1.0
h2217,21222.3,0.406,0.385,1.0
h2218,21998.8,0.535,0.63,1.0
h2219,24030.0,0.589,0.725,1.0
h2220,22250.3,0.56,0.723,1.0
h2221,22052.5,0.587,0.723,1.0
h2222,21514.3,0.483,0.769,1.0
h2223,22144.5,0.463,0.714,1.0
h2224,20778.0,0.441,0.545,1.0
h2225,19677.7,0.495,0.427,1.0
h2226,20478.6,0.494,0.207,1.0
h2227,19784.7,0.516,0.0,1.0
h2228,17452.1,0.49,0.023,1.0
h2229,15827.2,0.489,0.0,1.0
h2230,17660.7,0.438,0.0,1.0
h2231,16018.7,0.575,0.02,1.0
h2232,17107.3,0.506,0.0,1.0
h2233,15009.5,0.486,0.057,1.0
h2234,17604.5,0.44,0.021,1.0
h2235,16398.6,0.393,0.019,1.0
h2236,18568.0,0.605,0.0,1.0
h2237,18706.3,0.544,0.026,1.0
h2238,18689.1,0.37,0.0,1.0
h2239,19876.8,0.561,0.008,1.0
h2240,21441.8,0.574,0.177,1.0
h2241,21559.1,0.51,0.426,1.0
h2242,22373.5,0.628,0.566,1.0
h2243,23737.4,0.517,0.742,1.0
h2244,20954.5,0.387,0.833,1.0
h2245,23343.3,0.529,0.811,1.0
h2246,21778.9,0.519,0.763,1.0
h2247,20446.4,0.452,0.654,1.0
h2248,19428.9,0.546,0.584,1.0
h2249,19570.4,0.366,0.4,1.0
h2250,19638.3,0.579,0.22,1.0
h2251,17982.2,0.43,0.052,1.0
h2252,18533.1,0.421,0.0,1.0
h2253,15508.7,0.491,0.0,1.0
h2254,16152.5,0.535,0.0,1.0
h2255,14831.2,0.513,0.025,1.0
h2256,15992.8,0.44,0.017,1.0
h2257,16483.6,0.459,0.0,1.0
h2258,15704.7,0.409,0.023,1.0
h2259,14398.8,0.482,0.0,1.0
h2260,17222.1,0.586,0.0,1.0
h2261,18090.1,0.5,0.0,1.0
h2262,18789.1,0.569,0.0,1.0
h2263,20173.4,0.616,0.027,1.0
h2264,18988.6,0.453,0.211,1.0
h2265,20943.1,0.485,0.444,1.0
h2266,21757.9,0.674,0.546,1.0
h2267,19606.1,0.615,0.674,1.0
h2268,21310.8,0.366,0.792,1.0
h2269,20473.4,0.531,0.779,1.0
h2270,20437.2,0.5,0.8,1.0
h2271,20231.9,0.566,0.693,1.0
h2272,18874.7,0.44,0.482,1.0
h2273,17937.3,0.433,0.426,1.0
h2274,17671.0,0.446,0.229,1.0
h2275,15945.4,0.454,0.029,1.0
h2276,15176.6,0.565,0.0,1.0
h2277,15926.0,0.405,0.0,1.0
h2278,13949.6,0.45,0.0,1.0
h2279,15068.2,0.357,0.0,1.0
h2280,14771.2,0.58,0.052,1.0
h2281,13091.8,0.601,0.0,1.0
h2282,14198.5,0.474,0.0,1.0
h2283,16139.4,0.476,0.017,1.0
h2284,14984.6,0.536,0.017,1.0
h2285,16082.1,0.618,0.0,1.0
h2286,17556.3,0.532,0.0,1.0
h2287,18542.5,0.444,0.0,1.0
h2288,18386.9,0.37,0.213,1.0
h2289,18677.1,0.41,0.38,1.0
h2290,20713.2,0.506,0.55,1.0
h2291,21208.4,0.447,0.61,1.0
h2292,20645.1,0.515,0.74,1.0
h2293,19772.3,0.455,0.809,1.0
h2294,18705.0,0.415,0.791,1.0
h2295,18162.2,0.405,0.693,1.0
h2296,18580.4,0.625,0.508,1.0
h2297,17737.1,0.571,0.425,1.0
h2298,17717.7,0.638,0.222,1.0
h2299,16317.9,0.543,0.0,1.0
h2300,13856.1,0.465,0.0,1.0
h2301,15269.9,0.605,0.029,1.0
h2302,13149.8,0.497,0.0,1.0
h2303,13342.6,0.517,0.01,1.0
h2304,13752.3,0.496,0.002,1.0
h2305,15257.4,0.264,0.046,1.0
h2306,16455.6,0.628,0.0,1.0
h2307,14936.3,0.539,0.0,1.0
h2308,14930.4,0.526,0.047,1.0
h2309,16230.4,0.495,0.0,1.0
h2310,17288.6,0.513,0.024,1.0
h2311,17094.5,0.452,0.0,1.0
h2312,19503.8,0.549,0.169,1.0
h2313,18863.6,0.395,0.385,1.0
h2314,19543.6,0.514,0.565,1.0
h2315,19966.3,0.544,0.708,1.0
h2316,19862.4,0.484,0.788,1.0
h2317,20085.5,0.529,0.761,1.0
h2318,18615.8,0.42,0.713,1.0
h2319,18185.9,0.422,0.656,1.0
h2320,17136.5,0.518,0.508,1.0
h2321,17656.7,0.554,0.378,1.0
h2322,17170.9,0.349,0.189,1.0
h2323,16163.8,0.541,0.022,1.0
h2324,16446.9,0.456,0.0,1.0
h2325,14521.1,0.484,0.0,1.0
h2326,14629.0,0.392,0.0,1.0
h2327,12970.4,0.431,0.036,1.0
h2328,13484.4,0.577,0.0,1.0
h2329,14506.9,0.502,0.007,1.0
h2330,14983.8,0.469,0.0,1.0
h2331,14599.4,0.49,0.031,1.0
h2332,15449.6,0.538,0.018,1.0
h2333,15064.0,0.535,0.004,1.0
h2334,16813.4,0.493,0.0,1.0
h2335,18628.1,0.587,0.0,1.0
h2336,19136.0,0.577,0.205,1.0
h2337,19730.9,0.532,0.398,1.0
h2338,19877.7,0.504,0.493,1.0
h2339,20172.5,0.552,0.624,1.0
h2340,19769.8,0.524,0.745,1.0
h2341,20785.0,0.584,0.773,1.0
h2342,20295.4,0.571,0.707,1.0
h2343,19911.5,0.418,0.643,1.0
h2344,18516.2,0.412,0.484,1.0
h2345,16536.6,0.443,0.422,1.0
h2346,18412.1,0.577,0.158,1.0
h2347,16432.2,0.373,0.016,1.0
h2348,15464.4,0.531,0.0,1.0
h2349,16155.9,0.528,0.039,1.0
h2350,14882.5,0.592,0.0,1.0
h2351,15819.0,0.514,0.002,1.0
h2352,15438.5,0.392,0.0,1.0
h2353,15670.1,0.422,0.0,1.0
h2354,14404.8,0.404,0.018,1.0
h2355,17015.8,0.456,0.0,1.0
h2356,16944.5,0.484,0.0,1.0
h2357,17226.7,0.406,0.03,1.0
h2358,18471.0,0.617,0.022,1.0
h2359,17763.8,0.393,0.0,1.0
h2360,20281.7,0.607,0.149,1.0
h2361,19794.0,0.594,0.394,1.0
h2362,20049.2,0.571,0.576,1.0
h2363,20247.0,0.443,0.636,1.0
h2364,22489.0,0.526,0.707,1.0
h2365,21024.2,0.397,0.741,1.0
h2366,22486.4,0.572,0.748,1.0
h2367,20387.2,0.493,0.692,1.0
h2368,18864.6,0.466,0.498,1.0
h2369,18653.2,0.401,0.333,1.0
h2370,19802.0,0.301,0.266,1.0
h2371,17959.5,0.416,0.0,1.0
h2372,16973.2,0.588,0.008,1.0
h2373,16972.9,0.467,0.0,1.0
h2374,16826.2,0.485,0.015,1.0
h2375,17076.6,0.551,0.029,1.0
h2376,17296.8,0.643,0.009,1.0
h2377,16008.2,0.605,0.052,1.0
h2378,15587.6,0.421,0.0,1.0
h2379,16842.7,0.343,0.0,1.0
h2380,18045.9,0.687,0.007,1.0
h2381,17826.6,0.68,0.014,1.0
h2382,18637.9,0.514,0.007,1.0
h2383,20477.5,0.397,0.0,1.0
h2384,20902.5,0.576,0.204,1.0
h2385,21597.9,0.49,0.365,1.0
h2386,21445.0,0.49,0.514,1.0
h2387,22165.9,0.57,0.652,1.0
h2388,21708.5,0.525,0.697,1.0
h2389,23051.3,0.404,0.717,1.0
h2390,22860.5,0.473,0.646,1.0
h2391,20072.2,0.551,0.702,1.0
h2392,20179.4,0.539,0.547,1.0
h2393,19000.0,0.519,0.371,1.0
h2394,18901.5,0.573,0.174,1.0
h2395,18582.3,0.47,0.0,1.0
h2396,16772.7,0.513,0.0,1.0
h2397,16583.0,0.228,0.021,1.0
h2398,16051.5,0.462,0.028,1.0
h2399,16732.2,0.56,0.019,1.0
h2400,16530.3,0.467,0.005,1.0
h2401,16008.2,0.461,0.039,1.0
h2402,17031.8,0.415,0.0,1.0
h2403,16930.2,0.579,0.033,1.0
h2404,17766.1,0.542,0.0,1.0
h2405,20033.7,0.564,0.0,1.0
h2406,20524.6,0.36,0.0,1.0
h2407,19162.8,0.485,0.0,1.0
h2408,21556.5,0.476,0.213,1.0
h2409,22123.5,0.476,0.35,1.0
h2410,20987.4,0.449,0.496,1.0
h2411,22811.2,0.471,0.666,1.0
h2412,23436.2,0.566,0.729,1.0
h2413,21151.5,0.345,0.773,1.0
h2414,20961.5,0.64,0.734,1.0
h2415,21979.6,0.537,0.622,1.0
h2416,20710.3,0.495,0.528,1.0
h2417,20162.9,0.571,0.375,1.0
h2418,19173.5,0.382,0.165,1.0
h2419,18396.8,0.445,0.0,1.0
h2420,16263.0,0.488,0.0,1.0
h2421,17507.5,0.607,0.061,1.0
h2422,17097.8,0.494,0.0,1.0
h2423,15649.6,0.534,0.037,1.0
h2424,15667.1,0.451,0.0,1.0
h2425,14549.2,0.537,0.027,1.0
h2426,16452.7,0.632,0.027,1.0
h2427,16939.8,0.578,0.029,1.0
h2428,17013.2,0.491,0.012,1.0
h2429,18640.2,0.552,0.041,1.0
h2430,18198.4,0.544,0.011,1.0
h2431,19636.5,0.538,0.051,1.0
h2432,19029.7,0.587,0.143,1.0
h2433,20380.1,0.586,0.38,1.0
h2434,20664.4,0.488,0.531,1.0
h2435,21209.2,0.549,0.611,1.0
h2436,20759.5,0.467,0.73,1.0
h2437,20771.6,0.424,0.693,1.0
h2438,21163.2,0.476,0.693,1.0
h2439,19604.4,0.492,0.579,1.0
h2440,17979.2,0.365,0.568,1.0
h2441,19877.5,0.567,0.361,1.0
h2442,18748.9,0.276,0.256,1.0
h2443,15781.4,0.715,0.024,1.0
h2444,16597.0,0.618,0.013,1.0
h2445,14980.1,0.477,0.0,1.0
h2446,15079.4,0.498,0.0,1.0
h2447,14770.5,0.522,0.016,1.0
h2448,14213.6,0.45,0.0,1.0
h2449,13845.4,0.513,0.0,1.0
h2450,14188.2,0.486,0.0,1.0
h2451,14451.2,0.49,0.0,1.0
h2452,15104.0,0.512,0.055,1.0
h2453,16399.9,0.392,0.066,1.0
h2454,16614.1,0.501,0.006,1.0
h2455,18461.4,0.511,0.004,1.0
h2456,19777.9,0.508,0.18,1.0
h2457,18691.1,0.48,0.338,1.0
h2458,19766.8,0.588,0.559,1.0
h2459,20217.0,0.469,0.69,1.0
h2460,20239.6,0.516,0.68,1.0
h2461,19764.8,0.601,0.729,1.0
h2462,19945.7,0.491,0.693,1.0
h2463,19212.3,0.514,0.62,1.0
h2464,17172.2,0.49,0.552,1.0
h2465,18097.7,0.596,0.326,1.0
h2466,17306.2,0.477,0.203,1.0
h2467,15186.9,0.6,0.022,1.0
h2468,15089.0,0.489,0.0,1.0
h2469,14975.0,0.428,0.027,1.0
h2470,13780.8,0.551,0.004,1.0
h2471,14508.2,0.473,0.037,1.0
h2472,15443.2,0.547,0.0,1.0
h2473,13032.0,0.279,0.0,1.0
h2474,12862.8,0.497,0.0,1.0
h2475,14693.9,0.46,0.0,1.0
h2476,15654.2,0.412,0.0,1.0
h2477,15618.1,0.453,0.0,1.0
h2478,17741.1,0.451,0.028,1.0
h2479,16280.1,0.493,0.0,1.0
h2480,18621.9,0.388,0.163,1.0
h2481,18194.9,0.522,0.388,1.0
h2482,20520.9,0.606,0.465,1.0
h2483,21027.6,0.519,0.566,1.0
h2484,18911.8,0.562,0.69,1.0
h2485,18974.7,0.584,0.681,1.0
h2486,19797.3,0.596,0.658,1.0
h2487,18322.8,0.646,0.645,1.0
h2488,17980.3,0.457,0.538,1.0
h2489,17325.4,0.439,0.386,1.0
h2490,15012.0,0.559,0.221,1.0
h2491,15786.5,0.553,0.037,1.0
h2492,14555.5,0.559,0.0,1.0
h2493,14131.1,0.648,0.014,1.0
h2494,15248.9,0.498,0.0,1.0
h2495,12838.6,0.531,0.0,1.0
h2496,14444.7,0.418,0.017,1.0
h2497,13727.3,0.667,0.0,1.0
h2498,14080.7,0.47,0.0,1.0
h2499,15466.9,0.472,0.019,1.0
h2500,15778.9,0.469,0.015,1.0
h2501,16734.8,0.445,0.004,1.0
h2502,17873.5,0.438,0.0,1.0
h2503,17650.7,0.455,0.022,1.0
h2504,18186.0,0.387,0.207,1.0
h2505,18462.3,0.434,0.362,1.0
h2506,19177.5,0.652,0.473,1.0
h2507,22526.1,0.555,0.61,1.0
h2508,21293.8,0.57,0.719,1.0
h2509,19145.1,0.59,0.758,1.0
h2510,18900.7,0.643,0.684,1.0
h2511,19903.3,0.355,0.614,1.0
h2512,19374.8,0.398,0.503,1.0
h2513,18698.4,0.432,0.367,1.0
h2514,17330.4,0.459,0.168,1.0
h2515,16714.9,0.472,0.0,1.0
h2516,16416.9,0.46,0.036,1.0
h2517,15669.8,0.514,0.054,1.0
h2518,13420.7,0.499,0.0,1.0
h2519,14787.2,0.438,0.0,1.0
h2520,14263.8,0.322,0.0,1.0
h2521,15263.4,0.417,0.0,1.0
h2522,17885.8,0.452,0.03,1.0
h2523,16340.2,0.476,0.002,1.0
h2524,16484.7,0.406,0.0,1.0
h2525,18259.6,0.457,0.0,1.0
h2526,18742.4,0.405,0.026,1.0
h2527,19520.8,0.486,0.018,1.0
h2528,20440.3,0.41,0.216,1.0
h2529,22262.7,0.428,0.327,1.0
h2530,20226.6,0.391,0.559,1.0
h2531,21843.8,0.483,0.565,1.0
h2532,20857.7,0.426,0.709,1.0
h2533,21972.0,0.568,0.655,1.0
h2534,20524.5,0.528,0.664,1.0
h2535,20482.0,0.49,0.663,1.0
h2536,19994.4,0.432,0.528,1.0
h2537,20327.0,0.526,0.339,1.0
h2538,19548.1,0.551,0.168,1.0
h2539,17087.7,0.507,0.003,1.0
h2540,17455.8,0.624,0.015,1.0
h2541,16277.2,0.532,0.038,1.0
h2542,15417.9,0.569,0.0,1.0
h2543,16009.1,0.506,0.0,1.0
h2544,15891.2,0.549,0.005,1.0
h2545,18237.3,0.432,0.0,1.0
h2546,16994.8,0.459,0.0,1.0
h2547,16071.4,0.523,0.009,1.0
h2548,17385.8,0.523,0.0,1.0
h2549,19414.7,0.536,0.009,1.0
h2550,21074.4,0.583,0.0,1.0
h2551,18933.7,0.381,0.015,1.0
h2552,19437.5,0.417,0.143,1.0
h2553,23068.4,0.514,0.328,1.0
h2554,22363.4,0.437,0.492,1.0
h2555,21655.6,0.765,0.663,1.0
h2556,22875.6,0.536,0.705,1.0
h2557,20230.6,0.489,0.738,1.0
h2558,22035.0,0.454,0.723,1.0
h2559,21811.4,0.457,0.718,1.0
h2560,21662.4,0.497,0.499,1.0
h2561,19386.1,0.504,0.395,1.0
h2562,19490.1,0.458,0.213,1.0
h2563,17908.7,0.473,0.03,1.0
h2564,18136.7,0.602,0.053,1.0
h2565,16604.2,0.606,0.0,1.0
h2566,16528.2,0.515,0.0,1.0
h2567,15769.7,0.387,0.01,1.0
h2568,16995.8,0.538,0.0,1.0
h2569,17272.4,0.619,0.01,1.0
h2570,16702.7,0.604,0.047,1.0
h2571,17398.1,0.553,0.0,1.0
h2572,16824.5,0.608,0.0,1.0
h2573,18455.2,0.499,0.005,1.0
h2574,19412.1,0.545,0.0,1.0
h2575,22299.1,0.44,0.0,1.0
h2576,20003.2,0.518,0.164,1.0
h2577,22645.7,0.601,0.37,1.0
h2578,22703.5,0.447,0.538,1.0
h2579,22380.7,0.426,0.571,1.0
h2580,23612.8,0.502,0.64,1.0
h2581,22347.2,0.476,0.699,1.0
h2582,22006.8,0.546,0.612,1.0
h2583,21122.9,0.458,0.591,1.0
h2584,21472.0,0.632,0.441,1.0
h2585,20598.8,0.391,0.39,1.0
h2586,18400.5,0.595,0.157,1.0
h2587,17028.9,0.433,0.05,1.0
h2588,17161.8,0.35,0.033,1.0
h2589,16029.6,0.513,0.0,1.0
h2590,16111.3,0.474,0.0,1.0
h2591,16823.1,0.405,0.0,1.0
h2592,15336.1,0.36,0.0,1.0
h2593,15739.8,0.493,0.01,1.0
h2594,16087.8,0.572,0.0,1.0
h2595,17160.9,0.541,0.022,1.0
h2596,15265.5,0.498,0.008,1.0
h2597,17255.4,0.532,0.0,1.0
h2598,18634.7,0.492,0.0,1.0
h2599,20144.8,0.379,0.0,1.0
h2600,19451.9,0.38,0.155,1.0
h2601,18897.7,0.478,0.348,1.0
h2602,21299.6,0.481,0.492,1.0
h2603,20520.7,0.562,0.608,1.0
h2604,20103.4,0.554,0.722,1.0
h2605,20377.3,0.542,0.688,1.0
h2606,20354.8,0.471,0.698,1.0
h2607,19470.0,0.383,0.606,1.0
h2608,17500.0,0.527,0.481,1.0
h2609,19195.5,0.536,0.342,1.0
h2610,18663.6,0.302,0.177,1.0
h2611,17336.4,0.427,0.008,1.0
h2612,15135.1,0.438,0.0,1.0
h2613,15221.3,0.503,0.0,1.0
h2614,14863.4,0.429,0.02,1.0
h2615,15014.2,0.49,0.027,1.0
h2616,14935.8,0.476,0.022,1.0
h2617,13885.1,0.481,0.005,1.0
h2618,14806.2,0.436,0.023,1.0
h2619,15550.0,0.442,0.021,1.0
h2620,16934.2,0.407,0.024,1.0
h2621,17017.2,0.524,0.0,1.0
h2622,17817.9,0.539,0.0,1.0
h2623,17982.8,0.431,0.0,1.0
h2624,19716.5,0.615,0.177,1.0
h2625,19482.9,0.468,0.336,1.0
h2626,18886.4,0.615,0.429,1.0
h2627,20940.0,0.442,0.646,1.0
h2628,20420.4,0.331,0.654,1.0
h2629,19349.6,0.525,0.69,1.0
h2630,18968.0,0.513,0.699,1.0
h2631,19063.8,0.496,0.523,1.0
h2632,18532.9,0.441,0.469,1.0
h2633,17560.2,0.49,0.33,1.0
h2634,16845.4,0.452,0.167,1.0
h2635,17157.5,0.469,0.0,1.0
h2636,15915.8,0.56,0.043,1.0
h2637,14580.8,0.507,0.02,1.0
h2638,14701.3,0.541,0.029,1.0
h2639,12823.8,0.474,0.001,1.0
h2640,13870.5,0.465,0.0,1.0
h2641,15108.3,0.4,0.0,1.0
h2642,13793.2,0.463,0.0,1.0
h2643,13772.8,0.227,0.011,1.0
h2644,14555.3,0.445,0.001,1.0
h2645,14931.1,0.486,0.0,1.0
h2646,15950.7,0.537,0.0,1.0
h2647,17054.6,0.471,0.06,1.0
h2648,16943.1,0.52,0.151,1.0
h2649,18692.1,0.318,0.368,1.0
h2650,19867.2,0.488,0.48,1.0
h2651,18707.4,0.358,0.586,1.0
h2652,20740.6,0.395,0.691,1.0
h2653,19823.0,0.477,0.722,1.0
h2654,19934.1,0.594,0.648,1.0
h2655,18106.2,0.522,0.611,1.0
h2656,18700.2,0.493,0.49,1.0
h2657,16431.6,0.49,0.339,1.0
h2658,17259.9,0.435,0.181,1.0
h2659,15935.0,0.448,0.0,1.0
h2660,15549.9,0.526,0.0,1.0
h2661,13585.1,0.381,0.0,1.0
h2662,13377.9,0.539,0.027,1.0
h2663,14321.6,0.461,0.0,1.0
h2664,13035.4,0.558,0.0,1.0
h2665,14321.0,0.569,0.0,1.0
h2666,13210.8,0.358,0.0,1.0
h2667,15513.1,0.445,0.0,1.0
h2668,14520.9,0.423,0.001,1.0
h2669,16720.2,0.347,0.0,1.0
h2670,17599.5,0.409,0.059,1.0
h2671,17358.3,0.687,0.017,1.0
h2672,19141.4,0.54,0.19,1.0
h2673,19538.7,0.645,0.287,1.0
h2674,19406.8,0.558,0.465,1.0
h2675,19360.0,0.432,0.568,1.0
h2676,18728.0,0.461,0.626,1.0
h2677,20505.7,0.538,0.648,1.0
h2678,18706.8,0.526,0.594,1.0
h2679,19594.1,0.445,0.543,1.0
h2680,18726.3,0.37,0.501,1.0
h2681,18802.6,0.754,0.331,1.0
h2682,17292.7,0.48,0.158,1.0
h2683,16551.7,0.465,0.0,1.0
h2684,16740.1,0.5,0.035,1.0
h2685,15869.1,0.472,0.0,1.0
h2686,15449.1,0.501,0.016,1.0
h2687,15346.5,0.594,0.0,1.0
h2688,13716.5,0.481,0.0,1.0
h2689,15728.7,0.398,0.011,1.0
h2690,15987.6,0.478,0.057,1.0
h2691,15232.9,0.454,0.043,1.0
h2692,16540.2,0.605,0.017,1.0
h2693,17490.7,0.584,0.005,1.0
h2694,18248.7,0.499,0.042,1.0
h2695,19451.9,0.388,0.024,1.0
h2696,21099.9,0.392,0.104,1.0
h2697,21482.9,0.492,0.301,1.0
h2698,20081.6,0.517,0.481,1.0
h2699,21962.5,0.46,0.523,1.0
h2700,22662.0,0.452,0.616,1.0
h2701,21837.0,0.443,0.644,1.0
h2702,22132.2,0.488,0.634,1.0
h2703,22425.7,0.3,0.567,1.0
h2704,21049.5,0.402,0.461,1.0
h2705,19745.8,0.44,0.357,1.0
h2706,19649.4,0.587,0.164,1.0
h2707,18200.2,0.425,0.0,1.0
h2708,17431.0,0.505,0.0,1.0
h2709,16563.8,0.508,0.031,1.0
h2710,17675.5,0.594,0.0,1.0
h2711,15528.0,0.591,0.0,1.0
h2712,17363.9,0.485,0.006,1.0
h2713,16695.9,0.452,0.0,1.0
h2714,15529.0,0.437,0.0,1.0
h2715,17467.6,0.471,0.008,1.0
h2716,16157.6,0.455,0.0,1.0
h2717,19098.0,0.534,0.069,1.0
h2718,20111.8,0.523,0.0,1.0
h2719,19728.6,0.537,0.019,1.0
h2720,21040.2,0.59,0.112,1.0
h2721,23135.0,0.639,0.304,1.0
h2722,21647.2,0.5,0.433,1.0
h2723,21503.1,0.577,0.542,1.0
h2724,23633.2,0.461,0.648,1.0
h2725,23909.2,0.584,0.689,1.0
h2726,22035.3,0.574,0.646,1.0
h2727,22358.3,0.57,0.563,1.0
h2728,21996.2,0.497,0.446,1.0
h2729,19603.2,0.436,0.362,1.0
h2730,19033.3,0.378,0.232,1.0
h2731,19633.7,0.486,0.004,1.0
h2732,19280.4,0.612,0.028,1.0
h2733,17770.7,0.464,0.01,1.0
h2734,16150.8,0.552,0.023,1.0
h2735,18156.0,0.557,0.0,1.0
h2736,16050.1,0.466,0.0,1.0
h2737,16317.5,0.594,0.012,1.0
h2738,17164.3,0.256,0.036,1.0
h2739,18610.8,0.391,0.0,1.0
h2740,18666.6,0.416,0.0,1.0
h2741,19026.8,0.423,0.0,1.0
h2742,19822.9,0.516,0.03,1.0
h2743,20237.3,0.512,0.0,1.0
h2744,21339.2,0.52,0.134,1.0
h2745,19450.8,0.536,0.331,1.0
h2746,21668.7,0.413,0.458,1.0
h2747,22349.3,0.391,0.582,1.0
h2748,21285.1,0.52,0.593,1.0
h2749,22358.6,0.438,0.642,1.0
h2750,21531.9,0.363,0.665,1.0
h2751,22569.8,0.566,0.528,1.0
h2752,21751.5,0.6,0.504,1.0
h2753,19349.0,0.613,0.293,1.0
h2754,18780.3,0.503,0.194,1.0
h2755,18025.1,0.538,0.0,1.0
h2756,16962.8,0.598,0.0,1.0
h2757,16825.6,0.437,0.0,1.0
h2758,15555.5,0.577,0.016,1.0
h2759,14928.7,0.51,0.0,1.0
h2760,16200.1,0.561,0.034,1.0
h2761,16277.7,0.503,0.043,1.0
h2762,15397.9,0.592,0.0,1.0
h2763,17198.4,0.506,0.0,1.0
h2764,16557.7,0.369,0.0,1.0
h2765,17943.3,0.604,0.0,1.0
h2766,19121.9,0.412,0.033,1.0
h2767,19157.9,0.588,0.017,1.0
h2768,20209.2,0.48,0.151,1.0
h2769,19985.8,0.582,0.323,1.0
h2770,20646.7,0.578,0.498,1.0
h2771,20864.3,0.522,0.616,1.0
h2772,20457.8,0.528,0.631,1.0
h2773,20735.4,0.521,0.565,1.0
h2774,19263.5,0.326,0.631,1.0
h2775,19560.8,0.497,0.586,1.0
h2776,19036.6,0.398,0.462,1.0
h2777,18272.9,0.501,0.343,1.0
h2778,17450.5,0.396,0.177,1.0
h2779,16765.8,0.392,0.0,1.0
h2780,16428.8,0.616,0.0,1.0
h2781,16082.1,0.573,0.0,1.0
h2782,14348.8,0.487,0.032,1.0
h2783,13572.6,0.502,0.0,1.0
h2784,13567.5,0.467,0.014,1.0
h2785,14082.6,0.533,0.009,1.0
h2786,14459.1,0.433,0.048,1.0
h2787,14568.1,0.566,0.0,1.0
h2788,14732.6,0.467,0.0,1.0
h2789,16088.7,0.453,0.019,1.0
h2790,17331.8,0.488,0.064,1.0
h2791,18391.8,0.439,0.021,1.0
h2792,18142.2,0.513,0.142,1.0
