'demand' 'cf_wind' 'cf_solar' 'cf_gas' 'co2_gas'
h1745 19077.7 0.436 0.430 1.0 0.400
h1746 19902.6 0.446 0.221 1.0 0.400
h1747 18649.5 0.694 0.000 1.0 0.400
h1748 18785.8 0.546 0.000 1.0 0.400
h1749 15918.6 0.357 0.016 1.0 0.400
h1750 17598.7 0.467 0.000 1.0 0.400
h1751 16213.1 0.600 0.000 1.0 0.400
h1752 15454.6 0.446 0.000 1.0 0.400
h1753 16096.9 0.474 0.000 1.0 0.400
h1754 16730.8 0.541 0.000 1.0 0.400
h1755 16297.5 0.478 0.000 1.0 0.400
h1756 16969.1 0.446 0.000 1.0 0.400
h1757 18159.3 0.484 0.000 1.0 0.400
h1758 18591.3 0.506 0.000 1.0 0.400
h1759 17581.5 0.512 0.017 1.0 0.400
h1760 20467.1 0.425 0.221 1.0 0.400
h1761 19034.4 0.448 0.462 1.0 0.400
h1762 21106.8 0.509 0.615 1.0 0.400
h1763 20210.4 0.537 0.782 1.0 0.400
h1764 20044.2 0.401 0.899 1.0 0.400
h1765 20615.4 0.465 0.891 1.0 0.400
h1766 20572.7 0.541 0.903 1.0 0.400
h1767 20261.8 0.581 0.760 1.0 0.400
h1768 18698.1 0.533 0.601 1.0 0.400
h1769 18189.9 0.496 0.499 1.0 0.400
h1770 18327.2 0.391 0.249 1.0 0.400
h1771 17173.2 0.595 0.000 1.0 0.400
h1772 16191.7 0.522 0.000 1.0 0.400
h1773 14902.1 0.593 0.000 1.0 0.400
h1774 15519.6 0.544 0.000 1.0 0.400
h1775 13593.2 0.527 0.000 1.0 0.400
h1776 14254.7 0.349 0.003 1.0 0.400
h1777 16128.9 0.503 0.000 1.0 0.400
h1778 14991.5 0.641 0.040 1.0 0.400
h1779 14387.5 0.545 0.000 1.0 0.400
h1780 15321.0 0.435 0.000 1.0 0.400
h1781 15950.0 0.443 0.044 1.0 0.400
h1782 17853.2 0.506 0.000 1.0 0.400
h1783 18482.5 0.536 0.000 1.0 0.400
h1784 19548.2 0.596 0.192 1.0 0.400
h1785 19245.1 0.495 0.464 1.0 0.400
h1786 20823.2 0.495 0.594 1.0 0.400
h1787 20372.4 0.388 0.792 1.0 0.400
h1788 19892.5 0.362 0.861 1.0 0.400
h1789 18689.2 0.435 0.880 1.0 0.400
h1790 19572.0 0.499 0.839 1.0 0.400
h1791 18272.3 0.358 0.707 1.0 0.400
h1792 17419.4 0.335 0.631 1.0 0.400
h1793 17868.6 0.485 0.487 1.0 0.400
h1794 15991.2 0.438 0.236 1.0 0.400
h1795 15207.7 0.460 0.006 1.0 0.400
h1796 16548.4 0.589 0.000 1.0 0.400
h1797 14652.6 0.522 0.000 1.0 0.400
h1798 14219.3 0.474 0.029 1.0 0.400
h1799 12912.9 0.419 0.000 1.0 0.400
h1800 14090.0 0.484 0.011 1.0 0.400
h1801 13106.0 0.459 0.000 1.0 0.400
h1802 14878.7 0.423 0.000 1.0 0.400
h1803 14425.7 0.492 0.002 1.0 0.400
h1804 14332.3 0.550 0.000 1.0 0.400
h1805 15121.6 0.575 0.019 1.0 0.400
h1806 16053.1 0.478 0.012 1.0 0.400
h1807 16350.0 0.588 0.000 1.0 0.400
h1808 18471.6 0.573 0.236 1.0 0.400
h1809 18714.5 0.544 0.457 1.0 0.400
h1810 18390.5 0.296 0.619 1.0 0.400
h1811 18793.9 0.604 0.797 1.0 0.400
h1812 17716.5 0.540 0.876 1.0 0.400
h1813 19038.3 0.366 0.879 1.0 0.400
h1814 19940.2 0.523 0.878 1.0 0.400
h1815 18411.3 0.497 0.799 1.0 0.400
h1816 18426.2 0.613 0.633 1.0 0.400
h1817 17486.7 0.474 0.432 1.0 0.400
h1818 15664.2 0.362 0.222 1.0 0.400
h1819 16301.4 0.480 0.000 1.0 0.400
h1820 14733.7 0.346 0.015 1.0 0.400
h1821 14042.9 0.531 0.035 1.0 0.400
h1822 14284.1 0.516 0.003 1.0 0.400
h1823 12881.5 0.479 0.038 1.0 0.400
h1824 12992.4 0.439 0.040 1.0 0.400
h1825 13733.9 0.378 0.011 1.0 0.400
h1826 14230.5 0.563 0.031 1.0 0.400
h1827 15017.1 0.546 0.025 1.0 0.400
h1828 15261.5 0.303 0.009 1.0 0.400
h1829 16935.9 0.514 0.000 1.0 0.400
h1830 17319.9 0.561 0.000 1.0 0.400
h1831 18000.5 0.503 0.000 1.0 0.400
h1832 17822.3 0.613 0.216 1.0 0.400
h1833 19700.2 0.492 0.439 1.0 0.400
h1834 19069.4 0.644 0.624 1.0 0.400
h1835 21609.3 0.539 0.778 1.0 0.400
h1836 20279.6 0.517 0.815 1.0 0.400
h1837 20028.6 0.664 0.876 1.0 0.400
h1838 20312.4 0.350 0.801 1.0 0.400
h1839 18302.3 0.524 0.773 1.0 0.400
h1840 17297.6 0.415 0.619 1.0 0.400
h1841 16738.9 0.372 0.478 1.0 0.400
h1842 17118.1 0.546 0.211 1.0 0.400
h1843 17140.4 0.407 0.000 1.0 0.400
h1844 17325.3 0.509 0.000 1.0 0.400
h1845 14226.7 0.511 0.000 1.0 0.400
h1846 14885.3 0.743 0.000 1.0 0.400
h1847 15524.4 0.569 0.061 1.0 0.400
h1848 15325.1 0.452 0.043 1.0 0.400
h1849 16644.8 0.500 0.012 1.0 0.400
h1850 14791.6 0.463 0.000 1.0 0.400
h1851 15181.6 0.529 0.000 1.0 0.400
h1852 17049.1 0.594 0.000 1.0 0.400
h1853 18298.0 0.412 0.000 1.0 0.400
h1854 19265.4 0.472 0.000 1.0 0.400
h1855 20370.0 0.531 0.000 1.0 0.400
h1856 20434.8 0.383 0.244 1.0 0.400
h1857 19709.1 0.442 0.406 1.0 0.400
h1858 21648.7 0.465 0.587 1.0 0.400
h1859 21593.4 0.500 0.781 1.0 0.400
h1860 21019.5 0.334 0.853 1.0 0.400
h1861 21625.9 0.442 0.847 1.0 0.400
h1862 20685.3 0.472 0.812 1.0 0.400
h1863 19953.9 0.442 0.725 1.0 0.400
h1864 20750.6 0.460 0.632 1.0 0.400
h1865 19927.2 0.491 0.471 1.0 0.400
h1866 19852.1 0.443 0.229 1.0 0.400
h1867 18339.7 0.503 0.000 1.0 0.400
h1868 18260.7 0.545 0.000 1.0 0.400
h1869 15788.7 0.522 0.000 1.0 0.400
h1870 17367.0 0.583 0.054 1.0 0.400
h1871 16701.9 0.501 0.042 1.0 0.400
h1872 15675.6 0.562 0.000 1.0 0.400
h1873 15848.7 0.584 0.005 1.0 0.400
h1874 16611.1 0.496 0.000 1.0 0.400
h1875 16991.6 0.593 0.006 1.0 0.400
h1876 18598.1 0.596 0.000 1.0 0.400
h1877 19539.0 0.355 0.007 1.0 0.400
h1878 18818.0 0.352 0.014 1.0 0.400
h1879 19800.0 0.497 0.000 1.0 0.400
h1880 21216.8 0.513 0.236 1.0 0.400
h1881 21263.1 0.498 0.434 1.0 0.400
h1882 21448.6 0.593 0.638 1.0 0.400
h1883 21938.5 0.621 0.747 1.0 0.400
h1884 23127.4 0.474 0.809 1.0 0.400
h1885 22323.8 0.393 0.877 1.0 0.400
h1886 22300.2 0.400 0.850 1.0 0.400
h1887 21094.4 0.535 0.778 1.0 0.400
h1888 20974.4 0.499 0.645 1.0 0.400
h1889 21586.3 0.413 0.467 1.0 0.400
h1890 18368.9 0.611 0.283 1.0 0.400
h1891 18213.9 0.447 0.003 1.0 0.400
h1892 18220.7 0.498 0.012 1.0 0.400
h1893 17237.8 0.590 0.041 1.0 0.400
h1894 17109.6 0.417 0.000 1.0 0.400
h1895 15819.3 0.421 0.000 1.0 0.400
h1896 17206.7 0.585 0.000 1.0 0.400
h1897 17326.7 0.366 0.002 1.0 0.400
h1898 17319.2 0.530 0.007 1.0 0.400
h1899 17106.5 0.542 0.000 1.0 0.400
h1900 16511.6 0.464 0.011 1.0 0.400
h1901 18470.1 0.414 0.000 1.0 0.400
h1902 19535.1 0.491 0.000 1.0 0.400
h1903 19856.9 0.469 0.000 1.0 0.400
h1904 22390.8 0.677 0.268 1.0 0.400
h1905 22114.7 0.527 0.389 1.0 0.400
h1906 21402.0 0.435 0.613 1.0 0.400
h1907 22193.6 0.567 0.766 1.0 0.400
h1908 23327.6 0.511 0.824 1.0 0.400
h1909 22453.5 0.408 0.859 1.0 0.400
h1910 20809.0 0.473 0.845 1.0 0.400
h1911 21263.9 0.447 0.810 1.0 0.400
h1912 20372.7 0.490 0.640 1.0 0.400
h1913 19333.6 0.517 0.458 1.0 0.400
h1914 18926.9 0.407 0.225 1.0 0.400
h1915 18716.3 0.403 0.000 1.0 0.400
h1916 17087.6 0.485 0.000 1.0 0.400
h1917 16620.2 0.482 0.039 1.0 0.400
h1918 15287.7 0.544 0.013 1.0 0.400
h1919 16133.2 0.580 0.000 1.0 0.400
h1920 15694.1 0.659 0.000 1.0 0.400
h1921 16695.4 0.508 0.000 1.0 0.400
h1922 15059.7 0.482 0.000 1.0 0.400
h1923 16900.3 0.540 0.000 1.0 0.400
h1924 16553.5 0.486 0.005 1.0 0.400
h1925 18192.9 0.400 0.000 1.0 0.400
h1926 18127.4 0.548 0.000 1.0 0.400
h1927 18596.3 0.627 0.000 1.0 0.400
h1928 19688.9 0.528 0.193 1.0 0.400
h1929 20487.1 0.533 0.444 1.0 0.400
h1930 21103.4 0.513 0.629 1.0 0.400
h1931 19915.0 0.471 0.772 1.0 0.400
h1932 20271.2 0.415 0.830 1.0 0.400
h1933 21229.2 0.438 0.824 1.0 0.400
h1934 21062.7 0.618 0.786 1.0 0.400
h1935 20683.2 0.512 0.702 1.0 0.400
h1936 20155.3 0.508 0.594 1.0 0.400
h1937 17116.0 0.437 0.468 1.0 0.400
h1938 17852.2 0.554 0.223 1.0 0.400
h1939 15458.0 0.462 0.011 1.0 0.400
h1940 16822.0 0.390 0.015 1.0 0.400
h1941 16664.3 0.679 0.022 1.0 0.400
h1942 15791.0 0.588 0.000 1.0 0.400
h1943 14869.9 0.439 0.042 1.0 0.400
h1944 14343.4 0.393 0.000 1.0 0.400
h1945 13951.0 0.444 0.000 1.0 0.400
h1946 14375.3 0.489 0.000 1.0 0.400
h1947 13906.0 0.483 0.000 1.0 0.400
h1948 15881.1 0.675 0.010 1.0 0.400
h1949 16395.1 0.564 0.066 1.0 0.400
h1950 17391.6 0.679 0.000 1.0 0.400
h1951 17532.6 0.471 0.000 1.0 0.400
h1952 19529.8 0.567 0.243 1.0 0.400
h1953 18222.4 0.454 0.434 1.0 0.400
h1954 20732.8 0.415 0.609 1.0 0.400
h1955 19971.1 0.497 0.774 1.0 0.400
h1956 20791.1 0.610 0.854 1.0 0.400
h1957 20094.7 0.439 0.875 1.0 0.400
h1958 20959.4 0.656 0.804 1.0 0.400
h1959 18648.9 0.504 0.792 1.0 0.400
h1960 19252.5 0.435 0.620 1.0 0.400
h1961 17052.0 0.361 0.504 1.0 0.400
h1962 15836.3 0.695 0.181 1.0 0.400
h1963 15674.0 0.618 0.016 1.0 0.400
h1964 15910.2 0.572 0.000 1.0 0.400
h1965 15379.3 0.546 0.021 1.0 0.400
h1966 14118.1 0.403 0.005 1.0 0.400
h1967 13574.0 0.357 0.000 1.0 0.400
h1968 14880.6 0.470 0.019 1.0 0.400
h1969 14073.5 0.603 0.018 1.0 0.400
h1970 13427.1 0.536 0.006 1.0 0.400
h1971 13849.6 0.560 0.000 1.0 0.400
h1972 15183.7 0.539 0.000 1.0 0.400
h1973 16952.8 0.536 0.000 1.0 0.400
h1974 17147.0 0.476 0.000 1.0 0.400
h1975 17483.1 0.494 0.000 1.0 0.400
h1976 18049.3 0.492 0.238 1.0 0.400
h1977 16958.9 0.434 0.433 1.0 0.400
h1978 19191.9 0.510 0.677 1.0 0.400
h1979 19585.9 0.453 0.783 1.0 0.400
h1980 18256.5 0.521 0.781 1.0 0.400
h1981 19644.1 0.681 0.874 1.0 0.400
h1982 18658.6 0.551 0.811 1.0 0.400
h1983 18447.7 0.543 0.722 1.0 0.400
h1984 17535.0 0.498 0.616 1.0 0.400
h1985 17612.6 0.434 0.427 1.0 0.400
h1986 17618.3 0.531 0.188 1.0 0.400
h1987 15168.9 0.455 0.000 1.0 0.400
h1988 14916.9 0.430 0.000 1.0 0.400
h1989 13090.4 0.596 0.027 1.0 0.400
h1990 13268.5 0.679 0.000 1.0 0.400
h1991 12747.4 0.523 0.008 1.0 0.400
h1992 13286.1 0.540 0.000 1.0 0.400
h1993 13489.3 0.337 0.019 1.0 0.400
h1994 14409.0 0.379 0.000 1.0 0.400
h1995 15008.8 0.476 0.000 1.0 0.400
h1996 15503.8 0.407 0.000 1.0 0.400
h1997 16471.5 0.552 0.000 1.0 0.400
h1998 18484.6 0.609 0.018 1.0 0.400
h1999 17635.0 0.580 0.009 1.0 0.400
h2000 18067.6 0.495 0.327 1.0 0.400
h2001 19742.5 0.521 0.409 1.0 0.400
h2002 19482.0 0.434 0.570 1.0 0.400
h2003 19955.6 0.513 0.733 1.0 0.400
h2004 20870.5 0.550 0.837 1.0 0.400
h2005 19257.0 0.378 0.844 1.0 0.400
h2006 20336.8 0.409 0.811 1.0 0.400
h2007 20212.7 0.435 0.694 1.0 0.400
h2008 18466.6 0.643 0.579 1.0 0.400
h2009 18128.6 0.443 0.434 1.0 0.400
h2010 17378.4 0.551 0.235 1.0 0.400
h2011 18140.7 0.480 0.000 1.0 0.400
h2012 17597.7 0.586 0.024 1.0 0.400
h2013 15195.7 0.630 0.000 1.0 0.400
h2014 15076.0 0.470 0.022 1.0 0.400
h2015 15293.3 0.514 0.000 1.0 0.400
h2016 15113.8 0.670 0.000 1.0 0.400
h2017 15799.8 0.526 0.009 1.0 0.400
h2018 15180.5 0.507 0.008 1.0 0.400
h2019 15594.9 0.628 0.044 1.0 0.400
h2020 17670.5 0.603 0.000 1.0 0.400
h2021 15547.2 0.500 0.028 1.0 0.400
h2022 18256.4 0.507 0.000 1.0 0.400
h2023 19930.6 0.448 0.041 1.0 0.400
h2024 21060.9 0.383 0.226 1.0 0.400
h2025 20868.3 0.558 0.453 1.0 0.400
h2026 19391.8 0.578 0.581 1.0 0.400
h2027 21832.4 0.517 0.754 1.0 0.400
h2028 21606.8 0.288 0.809 1.0 0.400
h2029 22269.1 0.593 0.871 1.0 0.400
h2030 20743.1 0.426 0.826 1.0 0.400
h2031 20594.8 0.535 0.726 1.0 0.400
h2032 19629.8 0.481 0.598 1.0 0.400
h2033 19777.0 0.591 0.450 1.0 0.400
h2034 18836.4 0.498 0.161 1.0 0.400
h2035 18475.8 0.566 0.000 1.0 0.400
h2036 17269.0 0.645 0.000 1.0 0.400
h2037 17051.9 0.489 0.000 1.0 0.400
h2038 15897.2 0.495 0.000 1.0 0.400
h2039 15578.2 0.462 0.000 1.0 0.400
h2040 14528.3 0.531 0.000 1.0 0.400
h2041 15229.3 0.458 0.000 1.0 0.400
h2042 17381.8 0.521 0.001 1.0 0.400
h2043 17494.4 0.492 0.000 1.0 0.400
h2044 18003.4 0.627 0.006 1.0 0.400
h2045 17412.7 0.350 0.035 1.0 0.400
h2046 18847.3 0.573 0.000 1.0 0.400
h2047 19524.4 0.578 0.014 1.0 0.400
h2048 21130.4 0.439 0.232 1.0 0.400
h2049 21501.3 0.528 0.471 1.0 0.400
h2050 23757.3 0.490 0.589 1.0 0.400
h2051 22626.7 0.455 0.751 1.0 0.400
h2052 23395.9 0.335 0.792 1.0 0.400
h2053 22642.1 0.496 0.787 1.0 0.400
h2054 21887.0 0.508 0.793 1.0 0.400
h2055 21906.1 0.358 0.720 1.0 0.400
h2056 21388.6 0.429 0.613 1.0 0.400
h2057 21740.7 0.589 0.400 1.0 0.400
h2058 19745.4 0.440 0.229 1.0 0.400
h2059 18465.8 0.488 0.011 1.0 0.400
h2060 18279.8 0.619 0.014 1.0 0.400
h2061 17222.7 0.438 0.000 1.0 0.400
h2062 16831.3 0.446 0.019 1.0 0.400
h2063 15533.8 0.514 0.000 1.0 0.400
h2064 16731.3 0.640 0.000 1.0 0.400
h2065 15767.1 0.434 0.018 1.0 0.400
h2066 16968.1 0.604 0.000 1.0 0.400
h2067 17277.4 0.468 0.034 1.0 0.400
h2068 18406.0 0.424 0.000 1.0 0.400
h2069 18651.8 0.488 0.049 1.0 0.400
h2070 21215.3 0.637 0.070 1.0 0.400
h2071 18658.8 0.501 0.000 1.0 0.400
h2072 21212.7 0.507 0.201 1.0 0.400
h2073 21495.2 0.668 0.415 1.0 0.400
h2074 23095.8 0.494 0.524 1.0 0.400
h2075 21128.6 0.465 0.650 1.0 0.400
h2076 20488.8 0.542 0.814 1.0 0.400
h2077 21626.5 0.355 0.791 1.0 0.400
h2078 21772.0 0.500 0.820 1.0 0.400
h2079 19976.9 0.500 0.719 1.0 0.400
h2080 18591.6 0.580 0.543 1.0 0.400
h2081 19858.7 0.470 0.421 1.0 0.400
h2082 18261.7 0.514 0.222 1.0 0.400
h2083 18094.6 0.547 0.000 1.0 0.400
h2084 17087.5 0.357 0.000 1.0 0.400
h2085 16016.4 0.353 0.000 1.0 0.400
h2086 17025.3 0.483 0.006 1.0 0.400
h2087 16228.1 0.470 0.011 1.0 0.400
h2088 17060.4 0.566 0.000 1.0 0.400
h2089 15591.3 0.513 0.000 1.0 0.400
h2090 15315.1 0.529 0.000 1.0 0.400
h2091 16454.1 0.641 0.000 1.0 0.400
h2092 16196.5 0.599 0.020 1.0 0.400
h2093 17259.8 0.593 0.008 1.0 0.400
h2094 19009.1 0.495 0.015 1.0 0.400
h2095 19870.8 0.532 0.017 1.0 0.400
h2096 21105.0 0.434 0.218 1.0 0.400
h2097 20101.4 0.696 0.388 1.0 0.400
h2098 23268.4 0.509 0.658 1.0 0.400
h2099 20953.7 0.518 0.726 1.0 0.400
h2100 20536.8 0.420 0.777 1.0 0.400
h2101 21169.8 0.362 0.812 1.0 0.400
h2102 20651.1 0.459 0.727 1.0 0.400
h2103 20765.3 0.398 0.718 1.0 0.400
h2104 19169.4 0.527 0.617 1.0 0.400
h2105 17153.1 0.682 0.407 1.0 0.400
h2106 17069.6 0.451 0.192 1.0 0.400
h2107 16807.7 0.520 0.000 1.0 0.400
h2108 15849.7 0.416 0.004 1.0 0.400
h2109 15201.8 0.587 0.006 1.0 0.400
h2110 14001.8 0.510 0.009 1.0 0.400
h2111 15207.7 0.592 0.012 1.0 0.400
h2112 14854.9 0.472 0.049 1.0 0.400
h2113 14195.2 0.526 0.000 1.0 0.400
h2114 14376.8 0.421 0.016 1.0 0.400
h2115 14623.8 0.503 0.026 1.0 0.400
h2116 16352.2 0.600 0.009 1.0 0.400
h2117 16937.7 0.529 0.000 1.0 0.400
h2118 16716.6 0.385 0.000 1.0 0.400
h2119 18205.6 0.572 0.046 1.0 0.400
h2120 18377.1 0.583 0.213 1.0 0.400
h2121 20202.3 0.404 0.449 1.0 0.400
h2122 19363.4 0.598 0.570 1.0 0.400
h2123 19973.5 0.577 0.626 1.0 0.400
h2124 20160.5 0.494 0.728 1.0 0.400
h2125 20249.2 0.493 0.849 1.0 0.400
h2126 18892.3 0.471 0.768 1.0 0.400
h2127 17219.6 0.499 0.655 1.0 0.400
h2128 18557.4 0.439 0.543 1.0 0.400
h2129 18242.2 0.442 0.421 1.0 0.400
h2130 17428.1 0.463 0.188 1.0 0.400
h2131 15338.8 0.664 0.084 1.0 0.400
h2132 16232.3 0.643 0.000 1.0 0.400
h2133 12734.1 0.501 0.000 1.0 0.400
h2134 13962.1 0.446 0.000 1.0 0.400
h2135 13105.1 0.450 0.019 1.0 0.400
h2136 15082.6 0.245 0.000 1.0 0.400
h2137 12000.0 0.433 0.010 1.0 0.400
h2138 13491.7 0.432 0.078 1.0 0.400
h2139 14867.5 0.511 0.000 1.0 0.400
h2140 15210.9 0.393 0.000 1.0 0.400
h2141 16223.1 0.565 0.000 1.0 0.400
h2142 17555.2 0.510 0.000 1.0 0.400
h2143 16881.2 0.575 0.000 1.0 0.400
h2144 18067.1 0.698 0.174 1.0 0.400
h2145 18705.2 0.477 0.431 1.0 0.400
h2146 18664.6 0.489 0.624 1.0 0.400
h2147 19094.9 0.559 0.681 1.0 0.400
h2148 19343.5 0.400 0.783 1.0 0.400
h2149 18861.1 0.531 0.808 1.0 0.400
h2150 18981.7 0.503 0.792 1.0 0.400
h2151 19211.6 0.552 0.710 1.0 0.400
h2152 16769.8 0.527 0.560 1.0 0.400
h2153 17733.0 0.574 0.422 1.0 0.400
h2154 15839.2 0.464 0.238 1.0 0.400
h2155 14118.1 0.434 0.016 1.0 0.400
h2156 15217.5 0.546 0.000 1.0 0.400
h2157 13312.9 0.439 0.013 1.0 0.400
h2158 13439.9 0.403 0.000 1.0 0.400
h2159 15175.9 0.398 0.013 1.0 0.400
h2160 14670.8 0.592 0.000 1.0 0.400
h2161 14519.0 0.499 0.000 1.0 0.400
h2162 13992.2 0.594 0.028 1.0 0.400
h2163 16352.6 0.419 0.013 1.0 0.400
h2164 14330.2 0.428 0.048 1.0 0.400
h2165 15558.0 0.568 0.000 1.0 0.400
h2166 16329.6 0.419 0.018 1.0 0.400
h2167 18534.8 0.406 0.055 1.0 0.400
h2168 18511.7 0.494 0.185 1.0 0.400
h2169 18650.6 0.516 0.438 1.0 0.400
h2170 18247.1 0.461 0.569 1.0 0.400
h2171 20138.8 0.501 0.694 1.0 0.400
h2172 21036.2 0.546 0.829 1.0 0.400
h2173 20437.8 0.508 0.777 1.0 0.400
h2174 18510.4 0.577 0.768 1.0 0.400
h2175 19142.5 0.524 0.680 1.0 0.400
h2176 18925.6 0.519 0.555 1.0 0.400
h2177 18488.8 0.623 0.433 1.0 0.400
h2178 16505.2 0.455 0.263 1.0 0.400
h2179 16891.3 0.540 0.049 1.0 0.400
h2180 16178.4 0.506 0.019 1.0 0.400
h2181 15227.4 0.643 0.057 1.0 0.400
h2182 14985.7 0.607 0.000 1.0 0.400
h2183 15792.8 0.504 0.000 1.0 0.400
h2184 15466.8 0.440 0.025 1.0 0.400
h2185 15776.3 0.562 0.019 1.0 0.400
h2186 13699.8 0.442 0.033 1.0 0.400
h2187 17397.6 0.577 0.029 1.0 0.400
h2188 17073.3 0.393 0.000 1.0 0.400
h2189 18993.2 0.607 0.026 1.0 0.400
h2190 18761.7 0.593 0.008 1.0 0.400
h2191 19270.2 0.449 0.000 1.0 0.400
h2192 17679.0 0.612 0.208 1.0 0.400
h2193 20374.6 0.482 0.406 1.0 0.400
h2194 22215.0 0.490 0.581 1.0 0.400
h2195 21465.8 0.482 0.685 1.0 0.400
h2196 21406.3 0.641 0.783 1.0 0.400
h2197 20344.8 0.544 0.815 1.0 0.400
h2198 21491.0 0.427 0.768 1.0 0.400
h2199 21316.5 0.528 0.674 1.0 0.400
h2200 21494.9 0.503 0.542 1.0 0.400
h2201 20511.1 0.451 0.389 1.0 0.400
h2202 18101.4 0.358 0.238 1.0 0.400
h2203 17576.8 0.448 0.000 1.0 0.400
h2204 18305.1 0.498 0.026 1.0 0.400
h2205 16181.8 0.496 0.000 1.0 0.400
h2206 16841.6 0.602 0.016 1.0 0.400
h2207 14510.5 0.574 0.015 1.0 0.400
h2208 16576.7 0.570 0.000 1.0 0.400
h2209 15515.5 0.311 0.019 1.0 0.400
h2210 14947.3 0.359 0.038 1.0 0.400
h2211 16070.2 0.441 0.000 1.0 0.400
h2212 18066.4 0.550 0.028 1.0 0.400
h2213 18267.7 0.507 0.002 1.0 0.400
h2214 18713.5 0.437 0.000 1.0 0.400
h2215 19439.3 0.484 0.000 1.0 0.400
h2216 20705.3 0.548 0.157 1.0 0.400
h2217 21771.2 0.600 0.368 1.0 0.400
h2218 21190.4 0.511 0.557 1.0 0.400
h2219 22447.7 0.591 0.696 1.0 0.400
h2220 22459.5 0.490 0.784 1.0 0.400
h2221 21237.3 0.457 0.817 1.0 0.400
h2222 21861.6 0.577 0.787 1.0 0.400
h2223 21053.6 0.478 0.678 1.0 0.400
h2224 20487.9 0.622 0.547 1.0 0.400
h2225 20679.6 0.542 0.396 1.0 0.400
h2226 19515.8 0.594 0.162 1.0 0.400
h2227 17893.5 0.446 0.000 1.0 0.400
h2228 18449.1 0.498 0.000 1.0 0.400
h2229 17427.7 0.440 0.031 1.0 0.400
h2230 17337.8 0.483 0.013 1.0 0.400
h2231 17491.3 0.551 0.000 1.0 0.400
h2232 17196.0 0.528 0.006 1.0 0.400
h2233 16078.3 0.526 0.007 1.0 0.400
h2234 15850.3 0.572 0.007 1.0 0.400
h2235 17321.3 0.443 0.000 1.0 0.400
h2236 18500.9 0.581 0.005 1.0 0.400
h2237 17577.4 0.321 0.000 1.0 0.400
h2238 19521.1 0.505 0.000 1.0 0.400
h2239 19056.3 0.469 0.000 1.0 0.400
h2240 20423.3 0.492 0.255 1.0 0.400
h2241 21838.8 0.346 0.487 1.0 0.400
h2242 21620.3 0.521 0.569 1.0 0.400
h2243 21257.4 0.447 0.677 1.0 0.400
h2244 23827.0 0.489 0.792 1.0 0.400
h2245 22470.4 0.437 0.748 1.0 0.400
h2246 20889.1 0.406 0.769 1.0 0.400
h2247 20206.0 0.526 0.659 1.0 0.400
h2248 19795.0 0.425 0.574 1.0 0.400
h2249 19383.8 0.517 0.374 1.0 0.400
h2250 17517.8 0.717 0.205 1.0 0.400
h2251 18538.0 0.327 0.000 1.0 0.400
h2252 16755.5 0.413 0.085 1.0 0.400
h2253 16372.9 0.593 0.020 1.0 0.400
h2254 16231.4 0.392 0.000 1.0 0.400
h2255 15338.0 0.598 0.000 1.0 0.400
h2256 14913.8 0.471 0.000 1.0 0.400
h2257 14842.6 0.546 0.000 1.0 0.400
h2258 15790.3 0.468 0.000 1.0 0.400
h2259 16314.5 0.518 0.000 1.0 0.400
h2260 18003.8 0.378 0.045 1.0 0.400
h2261 17542.3 0.588 0.019 1.0 0.400
h2262 18923.9 0.601 0.000 1.0 0.400
h2263 19110.9 0.495 0.017 1.0 0.400
h2264 20270.1 0.275 0.179 1.0 0.400
h2265 20401.8 0.407 0.398 1.0 0.400
h2266 21153.0 0.454 0.536 1.0 0.400
h2267 21271.1 0.538 0.703 1.0 0.400
h2268 21215.8 0.432 0.783 1.0 0.400
h2269 21610.4 0.582 0.766 1.0 0.400
h2270 20097.4 0.488 0.770 1.0 0.400
h2271 18877.9 0.431 0.694 1.0 0.400
h2272 19382.3 0.409 0.530 1.0 0.400
h2273 17246.2 0.390 0.403 1.0 0.400
h2274 17645.0 0.596 0.217 1.0 0.400
h2275 16746.9 0.592 0.004 1.0 0.400
h2276 15552.1 0.647 0.052 1.0 0.400
h2277 15686.3 0.538 0.000 1.0 0.400
h2278 14852.7 0.527 0.000 1.0 0.400
h2279 14708.5 0.590 0.050 1.0 0.400
h2280 13696.8 0.413 0.004 1.0 0.400
h2281 15036.9 0.473 0.038 1.0 0.400
h2282 14106.5 0.546 0.000 1.0 0.400
h2283 16378.8 0.419 0.000 1.0 0.400
h2284 15447.6 0.581 0.027 1.0 0.400
h2285 16960.6 0.387 0.000 1.0 0.400
h2286 16666.6 0.361 0.000 1.0 0.400
h2287 17423.6 0.469 0.000 1.0 0.400
h2288 17793.7 0.337 0.182 1.0 0.400
h2289 18787.9 0.630 0.419 1.0 0.400
h2290 19850.4 0.510 0.557 1.0 0.400
h2291 19359.6 0.391 0.674 1.0 0.400
h2292 19529.0 0.549 0.750 1.0 0.400
h2293 19296.4 0.507 0.771 1.0 0.400
h2294 19354.0 0.534 0.729 1.0 0.400
h2295 18701.8 0.407 0.602 1.0 0.400
h2296 19215.6 0.529 0.584 1.0 0.400
h2297 16867.6 0.492 0.317 1.0 0.400
h2298 15559.1 0.487 0.226 1.0 0.400
h2299 16150.4 0.573 0.000 1.0 0.400
h2300 14899.7 0.545 0.000 1.0 0.400
h2301 15317.6 0.382 0.000 1.0 0.400
h2302 13732.0 0.499 0.000 1.0 0.400
